country,latitude,longitude,happinessScore,Validated Country,Validated Country Normalized,Mismatch
Azerbaijan,40.1431,47.5769,5.173,Azərbaycan,Azerbaijan,False
Gambia,13.4432,-15.3101,5.164,Gambia,Gambia,False
Bangladesh,23.685,90.3563,5.155,বাংলাদেশ,Bangladesh,False
Laos,19.8563,102.4955,5.14,ປະເທດລາວ,Laos,False
Algeria,28.0339,1.6596,5.122,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algeria,False
Liberia,6.4281,-9.4295,5.122,Liberia,Liberia,False
Ukraine,48.3794,31.1656,5.084,Україна,Ukraine,False
Congo,-0.228,15.8277,5.075,Congo,Congo,False
Morocco,31.7917,-7.0926,5.06,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,Morocco,False
Mozambique,-18.6657,35.5296,5.048,Moçambique,Mozambique,False
Cameroon,7.3697,12.3547,5.048,Cameroun,Cameroon,False
Senegal,14.4974,-14.4524,5.046,Sénégal,Senegal,False
Niger,17.6078,8.0817,5.003,Niger,Niger,False
Georgia,42.3154,43.3569,4.973,საქართველო,Georgia,False
Gabon,-0.8037,11.6094,4.958,Gabon,Gabon,False
Iraq,33.2232,43.6793,4.941,العراق,Iraq,False
Venezuela,6.4238,-66.5897,4.925,Venezuela,Venezuela,False
Guinea,9.9456,-9.6966,4.891,Guinée,Guinea,False
Iran,32.4279,53.688,4.888,ایران,Iran,False
Ghana,7.9465,-1.0232,4.872,Ghana,Ghana,False
Turkey,38.9637,35.2433,4.744,Türkiye,Turkey,False
Burkina Faso,12.2383,-1.5616,4.67,Burkina Faso,Burkina Faso,False
Cambodia,12.5657,104.991,4.64,ព្រះរាជាណាចក្រ​កម្ពុជា,Cambodia,False
Benin,9.3077,2.3158,4.623,Bénin,Benin,False
Comoros,-11.875,43.8722,4.609,Comores Komori جزر القمر,Comoros,False
Uganda,1.3733,32.2903,4.603,Uganda,Uganda,False
Nigeria,9.082,8.6753,4.552,Nigeria,Nigeria,False
Kenya,-1.2921,36.8219,4.543,Kenya,Kenya,False
Tunisia,33.8869,9.5375,4.516,تونس,Tunisia,False
Pakistan,30.3753,69.3451,4.516,پاکستان,Pakistan,False
Palestinian Territories,31.9522,35.2332,4.483,Palestinian Territory,Palestinian Territories,False
Mali,17.5707,-3.9962,4.479,Mali,Mali,False
Namibia,-22.9576,18.4904,4.459,Namibia,Namibia,False
Eswatini,-26.5225,31.4659,4.396,Eswatini,Eswatini,False
Myanmar,21.9162,95.956,4.394,မြန်မာ,Myanmar,False
Sri Lanka,7.8731,80.7718,4.362,Sri Lanka,Sri Lanka,False
Madagascar,-18.7669,46.8691,4.339,Madagasikara / Madagascar,Madagascar,False
Egypt,26.8206,30.8025,4.288,مصر,Egypt,False
Chad,15.4542,18.7322,4.251,Tchad تشاد,Chad,False
Ethiopia,9.145,40.4897,4.241,ኢትዮጵያ,Ethiopia,False
Yemen,15.5527,48.5164,4.197,اليمن,Yemen,False
Mauritania,21.0079,-10.9408,4.153,موريتانيا,Mauritania,False
Jordan,30.5852,36.2384,4.152,الأردن,Jordan,False
Togo,8.6195,0.8248,4.112,Togo,Togo,False
India,20.5937,78.9629,3.777,India,India,False
Zambia,-13.1339,27.8493,3.76,Zambia,Zambia,False
Malawi,-13.2543,34.3015,3.75,Malawi,Malawi,False
Tanzania,-6.369,34.8888,3.702,Tanzania,Tanzania,False
Sierra Leone,8.4606,-11.7799,3.574,Sierra Leone,Sierra Leone,False
Lesotho,-29.6099,28.2336,3.512,Lesotho,Lesotho,False
Botswana,-22.3285,24.6849,3.471,Botswana,Botswana,False
Rwanda,-1.9403,29.8739,3.268,Rwanda,Rwanda,False
Zimbabwe,-19.0154,29.1549,2.995,Zimbabwe,Zimbabwe,False
Lebanon,33.8547,35.8623,2.955,لبنان,Lebanon,False
Afghanistan,33.9391,67.71,2.404,افغانستان,Afghanistan,False
